PERIODO,ESTU_DEPTO_RESIDE,ESTU_PRGM_ACADEMICO,ESTU_HORASSEMANATRABAJA,ESTU_GENERO,ESTU_PAGOMATRICULAPROPIO,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT,AGE,PUNT_GLOBAL,RENDIMIENTO
2018,BOGOTÁ,INGENIERIA FORESTAL,Entre 11 y 20 horas,F,Si,Educación profesional completa,Si,Si,Estrato 3,Si,Si,Educación profesional completa,194,213.0,197,193.0,187,22.0,196.8,Alto
2018,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Menos de 10 horas,F,No,Técnica o tecnológica completa,No,Si,Estrato 2,Si,Si,Técnica o tecnológica completa,189,171.0,182,158.0,134,23.0,166.8,Medio
2018,BOGOTÁ,INGENIERIA ELECTRICA,Entre 21 y 30 horas,M,No,Técnica o tecnológica completa,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,189,123.0,165,153.0,135,21.0,153.0,Medio
2018,BOGOTÁ,INGENIERIA INDUSTRIAL,0,F,No,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) incompleta,212,152.0,193,171.0,172,22.0,180.0,Medio
2018,CUNDINAMARCA,INGENIERIA DE SISTEMAS,0,F,No,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,199,206.0,178,165.0,181,22.0,185.8,Alto
2018,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Menos de 10 horas,M,No,Primaria incompleta,Si,Si,Estrato 2,Si,Si,Primaria completa,172,161.0,155,142.0,128,27.0,151.6,Medio
2018,CUNDINAMARCA,INGENIERIA ELECTRONICA,Entre 11 y 20 horas,M,No,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Técnica o tecnológica completa,160,152.0,159,185.0,176,23.0,166.4,Medio
2018,BOGOTÁ,ARTES MUSICALES,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,172,89.0,209,183.0,158,26.0,162.2,Medio
2019,BOGOTÁ,INGENIERIA DE SISTEMAS,Entre 11 y 20 horas,M,No,Postgrado,No,Si,Estrato 5,Si,Si,Postgrado,181,113.0,108,192.0,126,25.0,144.0,Medio
2019,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,Entre 11 y 20 horas,F,Si,Técnica o tecnológica completa,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,117,188.0,180,182.0,171,24.0,167.6,Medio
